,id,age,gender,nonblack,marijuana,cocaine,crack,heroin,pcp,otherdrug,nondrug,priorarr,priorfelarr,priordrugarr,priorfeldrugarr,priorcon,priorfelcon,priordrugcon,priorfeldrugcon,pwid,dist,laterarr,oob_preds,selected_drugs,arrest_conviction,pwid_dist,_orig_order,pair_group,pair_group_size
0,332,38,male,not Black,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0.023809523809523808,marijuana,"In the past, they were arrested and convicted on a felony drug charge.",charged with distribution of marijuana,331,0,100
1,544,21,male,not Black,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.02702702702702703,marijuana and crack,They have no prior arrests.,charged with possession and intent to distribute marijuana and crack,543,0,100
2,741,19,male,not Black,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.04054054054054054,crack,They have no prior arrests.,charged with possession and intent to distribute crack. They also were charged with at least one non-drug related charge,740,0,100
3,394,26,male,not Black,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0.043478260869565216,marijuana,"In the past, they were arrested and convicted on a non-felony drug related charge.In additon, they have been arrested for a felony charge in the past, but they weren't convicted of it.",charged with distribution of marijuana,393,0,100
4,591,19,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.046875,cocaine,They have no prior arrests.,charged with possession and intent to distribute cocaine,590,0,100
5,423,20,male,not Black,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0.04838709677419355,marijuana,"In the past, they were arrested and convicted on a non-felony drug related charge.",charged with possession and intent to distribute marijuana,422,0,100
6,385,19,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.05405405405405406,cocaine,They have no prior arrests.,charged with possession and intent to distribute cocaine,384,0,100
7,913,23,male,not Black,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0.05555555555555555,cocaine,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute cocaine,912,0,100
8,450,23,male,not Black,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.05555555555555555,marijuana and cocaine,They have no prior arrests.,charged with possession and intent to distribute marijuana and cocaine,449,0,100
9,292,19,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06578947368421052,cocaine,They have no prior arrests.,charged with distribution of cocaine,291,0,100
10,808,20,male,not Black,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0684931506849315,crack,They have no prior arrests.,charged with possession and intent to distribute crack,807,0,100
11,384,37,male,not Black,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0684931506849315,heroin,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute heroin. They also were charged with at least one non-drug related charge,383,0,100
12,465,24,male,not Black,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0.07575757575757576,marijuana,"In the past, they were arrested and convicted on two separate charges, one of which was a felony and one of which was drug related.",charged with possession and intent to distribute marijuana,464,0,100
13,801,22,male,not Black,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.07692307692307693,cocaine,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute cocaine. They also were charged with at least one non-drug related charge,800,0,100
14,328,20,male,not Black,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.08,pcp,They have no prior arrests.,charged with possession and intent to distribute pcp,327,0,100
15,971,46,male,not Black,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0.08823529411764706,heroin,"In the past, they were arrested and convicted on a felony drug charge.",charged with distribution of heroin,970,0,100
16,799,20,male,not Black,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0.09090909090909091,crack,"In the past, they were arrested and convicted on a non-felony drug related charge.In additon, they have been arrested for a felony charge in the past, but they weren't convicted of it.",charged with possession and intent to distribute crack. They also were charged with at least one non-drug related charge,798,0,100
17,316,20,male,not Black,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0.09210526315789473,cocaine,"In the past, they were arrested on a non-felony drug related charge, but they weren't convicted of it.",charged with distribution of cocaine,315,0,100
18,533,22,male,not Black,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0.09375,cocaine,"In the past, they were arrested and convicted on a non-felony drug related charge.",charged with distribution of cocaine,532,0,100
19,313,21,male,not Black,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0.0958904109589041,cocaine,"In the past, they were arrested on a non-felony drug related charge, but they weren't convicted of it.",charged with distribution of cocaine,312,0,100
20,554,20,male,not Black,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0.0958904109589041,crack,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute crack. They also were charged with at least one non-drug related charge,553,0,100
21,104,32,male,not Black,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0.10144927536231885,marijuana,"In the past, they were arrested and convicted on a felony drug charge.",charged with distribution of marijuana,103,0,100
22,580,34,male,not Black,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0.1038961038961039,marijuana,"In the past, they were arrested and convicted on a felony drug charge.",charged with distribution of marijuana,579,0,100
23,128,20,male,not Black,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.10975609756097561,crack,They have no prior arrests.,charged with distribution of crack,127,0,100
24,800,38,male,not Black,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.10975609756097561,marijuana,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute marijuana,799,0,100
25,476,20,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1125,cocaine,They have no prior arrests.,charged with distribution of cocaine,475,0,100
26,600,19,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.11764705882352941,cocaine,They have no prior arrests.,charged with distribution of cocaine,599,0,100
27,599,25,male,not Black,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.11940298507462686,crack,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute crack,598,0,100
28,583,25,male,not Black,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0.12,marijuana,"In the past, they were arrested and convicted on a felony drug charge.",charged with distribution of marijuana,582,0,100
29,439,43,female,not Black,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0.12048192771084337,cocaine,"In the past, they were arrested and convicted on a felony drug charge.",charged with distribution of cocaine,438,0,100
30,916,20,male,not Black,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0.12345679012345678,cocaine,"In the past, they were arrested on a felony drug charge, but they weren't convicted of it.",charged with possession and intent to distribute cocaine,915,0,100
31,712,19,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.125,cocaine,They have no prior arrests.,charged with possession and intent to distribute cocaine,711,0,100
32,529,19,male,not Black,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0.12698412698412698,cocaine,"In the past, they were arrested on a non-felony drug related charge, but they weren't convicted of it.",charged with possession and intent to distribute cocaine,528,0,100
33,598,20,male,not Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.13157894736842105,heroin,They have no prior arrests.,charged with possession and intent to distribute heroin,597,0,100
34,266,21,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1323529411764706,cocaine,They have no prior arrests.,charged with distribution of cocaine,265,0,100
35,804,21,male,not Black,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0.13580246913580246,cocaine,"In the past, they were arrested and convicted on a felony drug charge.",charged with distribution of cocaine,803,0,100
36,656,24,male,not Black,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.13793103448275862,marijuana,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute marijuana,655,0,100
37,276,21,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.13846153846153847,cocaine,They have no prior arrests.,charged with distribution of cocaine,275,0,100
38,241,21,male,not Black,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0.13924050632911392,marijuana and cocaine,"In the past, they were arrested and convicted on a felony charge.In addition, they have been arrested for a felony drug charge in the past, but they weren't convicted of it.",charged with possession and intent to distribute marijuana and cocaine,240,0,100
39,290,21,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.140625,cocaine,They have no prior arrests.,charged with possession and intent to distribute cocaine,289,0,100
40,642,18,male,not Black,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.14285714285714285,crack,They have no prior arrests.,charged with distribution of crack,641,0,100
41,766,19,male,not Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.14285714285714285,cocaine,They have no prior arrests.,charged with distribution of cocaine,765,0,100
42,582,20,male,not Black,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.14285714285714285,crack,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute crack,581,0,100
43,709,18,male,not Black,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0.14473684210526316,crack,"In the past, they were arrested and convicted on a non-felony drug related charge.In additon, they have been arrested for a felony charge in the past, but they weren't convicted of it.",charged with possession and intent to distribute crack. They also were charged with at least one non-drug related charge,708,0,100
44,882,41,male,not Black,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.14473684210526316,marijuana,"In the past, they were arrested and convicted on a felony drug charge.",charged with possession and intent to distribute marijuana,881,0,100
45,991,24,male,not Black,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0.14666666666666667,marijuana,"In the past, they were arrested on a non-felony drug related charge, but they weren't convicted of it.",charged with distribution of marijuana. They also were charged with at least one non-drug related charge,990,0,100
46,964,21,male,not Black,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.14666666666666667,marijuana,"In the past, they were arrested on a non-felony drug related charge, but they weren't convicted of it.",charged with possession and intent to distribute marijuana,963,0,100
